model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,6-7B,1,8192,8192,871.8463897705078,3747.443389892578,96.0,192.0,128.0,670.0,0.03125,64.0,464.0,LanguageModelEmbedding
GPT,6-7B,2,8192,8192,2161.0496520996094,5039.712142944336,192.0,448.0,256.0,810.0,0.0625,128.0,464.0,LanguageModelEmbedding
GPT,6-7B,1,16384,16384,1842.995262145996,4814.278411865234,192.0,384.0,256.0,938.0,0.0625,128.0,528.0,LanguageModelEmbedding
GPT,6-7B,2,16384,16384,4263.08479309082,7378.534698486328,384.0,896.0,512.0,1222.0,0.125,256.0,528.0,LanguageModelEmbedding
GPT,6-7B,1,32768,32768,3624.1409301757812,6882.918548583984,384.0,768.0,512.0,1078.0,0.125,256.0,656.0,LanguageModelEmbedding
GPT,6-7B,2,32768,32768,8468.070220947266,12099.584197998047,768.0,1792.0,1024.0,1642.0,0.25,512.0,656.0,LanguageModelEmbedding
GPT,6-7B,1,8192,8192,37363.30261230469,34056.37512207031,1672.2890625,2327.7109375,8.15625,0.0,64.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
GPT,6-7B,2,8192,8192,74611.71264648438,68447.23510742188,3328.328125,4799.671875,0.0625,0.0,128.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
GPT,6-7B,1,16384,16384,75640.42358398438,67818.46313476562,3328.328125,4671.671875,0.0625,0.0,128.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
GPT,6-7B,2,16384,16384,153319.83642578125,138501.30615234375,6656.65625,9599.34375,256.125,0.0,256.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
GPT,6-7B,1,32768,32768,152611.23046875,139591.8701171875,6656.65625,9599.34375,0.125,0.0,256.0,1.9073486328125e-06,400.0,TELayerNormPostProcess
GPT,6-7B,2,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
GPT,6-7B,1,8192,8192,8924.979400634766,22010.469818115234,421.0791015625,0.0,63.9375,2.0,64.0,64.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,2,8192,8192,18470.726013183594,42880.39093017578,962.1259765625,0.0,127.875,0.0,128.0,128.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,1,16384,16384,23427.059936523438,58799.30725097656,834.1259765625,0.0,127.875,0.0,128.0,128.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,2,16384,16384,49574.70703125,111143.93310546875,1924.2509765625,635.7490234375,255.75,2560.0,256.0,256.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,1,32768,32768,70483.7646484375,178776.07421875,1668.2509765625,379.7490234375,255.75,2560.0,256.0,256.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,2,32768,32768,141401.08642578125,359149.54833984375,3848.5009765625,1271.4990234375,511.5,4608.0,512.0,512.0,128.0,TELayerNormSelfAttentionDropout
GPT,6-7B,1,8192,8192,11523.27651977539,25057.280731201172,672.0625,0.0,63.9375,832.0,64.0,64.0,256.0,TELayerNormMlpDropout
GPT,6-7B,2,8192,8192,22729.11376953125,44248.675537109375,1344.125,63.875,127.875,1536.0,128.0,128.0,256.0,TELayerNormMlpDropout
GPT,6-7B,1,16384,16384,23665.869140625,46972.314453125,1344.125,0.0,127.875,1536.0,128.0,128.0,256.0,TELayerNormMlpDropout
GPT,6-7B,2,16384,16384,47429.83703613281,85968.28308105469,2688.25,127.75,255.75,2816.0,256.0,256.0,256.0,TELayerNormMlpDropout
GPT,6-7B,1,32768,32768,48702.25830078125,95658.59375,2688.25,127.75,255.75,2816.0,256.0,256.0,256.0,TELayerNormMlpDropout
GPT,6-7B,2,32768,32768,97057.177734375,177679.3701171875,5376.5,0.0,511.5,5632.0,512.0,512.0,256.0,TELayerNormMlpDropout
