model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,8192,8192,21868.544006347656,15404.237365722656,7.5703125,112.4296875,10.0,88.0,0.03125,5.0,71.25,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,44123.75183105469,32965.631103515625,15.140625,304.859375,20.0,176.0,0.0625,10.0,71.25,LanguageModelEmbedding
gpt,2-6B,1,16384,16384,43612.97912597656,33473.126220703125,15.140625,224.859375,20.0,176.0,0.0625,10.0,111.25,LanguageModelEmbedding
gpt,2-6B,2,16384,16384,87756.6162109375,65590.2587890625,30.28125,609.71875,40.0,354.0,0.125,20.0,111.25,LanguageModelEmbedding
gpt,2-6B,1,32768,32768,87411.09619140625,65768.65234375,30.28125,469.71875,40.0,514.0,0.125,20.0,191.25,LanguageModelEmbedding
gpt,2-6B,2,32768,32768,176505.23681640625,133652.0751953125,60.5625,1221.4375,80.0,866.0,0.25,40.0,191.25,LanguageModelEmbedding
gpt,2-6B,1,65536,65536,175738.2568359375,132937.73193359375,60.5625,941.4375,80.0,1026.0,0.25,40.0,351.25,LanguageModelEmbedding
gpt,2-6B,2,65536,65536,356213.96484375,269981.0791015625,121.125,2440.875,160.0,1732.0,0.5,80.0,351.25,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,16333.004760742188,25043.148803710938,253.234375,146.765625,8.15625,0.0,5.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,33070.94421386719,48847.82409667969,450.21875,349.78125,0.0625,0.0,10.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,16384,16384,33039.56604003906,49488.27819824219,410.21875,389.78125,0.0625,0.0,10.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,16384,16384,65518.798828125,99352.978515625,900.4375,1099.5625,0.125,0.0,20.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,32768,32768,66234.77783203125,100002.001953125,820.4375,1179.5625,0.125,0.0,20.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,32768,32768,132183.8623046875,198269.53125,1800.875,2521.125,0.25,0.0,40.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,65536,65536,130860.64453125,202249.21875,1640.875,2361.125,0.25,0.0,40.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,2,65536,65536,263307.275390625,398479.98046875,3601.75,5042.25,0.5,0.0,80.0,1.9073486328125e-06,31.25,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,24552.857971191406,36892.466735839844,37.0087890625,0.0,10.7255859375,0.0,5.0,5.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,48584.50012207031,73178.92761230469,76.0,0.0,19.984375,0.0,10.0,10.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,16384,16384,49797.94006347656,74384.99450683594,66.0,0.0,19.984375,80.0,10.0,10.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,16384,16384,99249.560546875,148701.1474609375,150.5322265625,0.0,39.96875,160.0,20.0,20.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,32768,32768,102260.94360351562,151880.07202148438,130.5322265625,0.0,39.96875,160.0,20.0,20.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,32768,32768,204534.16748046875,308487.36572265625,301.0634765625,18.9365234375,79.9375,642.0,40.0,40.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,65536,65536,215655.419921875,332462.255859375,261.0634765625,58.9365234375,79.9375,642.0,40.0,40.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,2,65536,65536,429599.755859375,664920.654296875,602.296875,677.703125,159.875,1280.0,80.0,80.0,6.25,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,24167.21954345703,36884.47723388672,52.5078125,0.0,9.9921875,0.0,5.0,5.0,12.5,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,48861.18469238281,72094.06433105469,105.015625,0.0,19.984375,0.0,10.0,10.0,12.5,TELayerNormMlpDropout
gpt,2-6B,1,16384,16384,48687.92419433594,72045.15686035156,105.015625,0.0,19.984375,0.0,10.0,10.0,12.5,TELayerNormMlpDropout
gpt,2-6B,2,16384,16384,97858.14819335938,142271.07543945312,210.03125,35.96875,39.96875,246.0,20.0,20.0,12.5,TELayerNormMlpDropout
gpt,2-6B,1,32768,32768,97009.2529296875,146066.2109375,210.03125,0.0,39.96875,508.0,20.0,20.0,12.5,TELayerNormMlpDropout
gpt,2-6B,2,32768,32768,195756.8359375,287246.77734375,420.0625,219.9375,79.9375,640.0,40.0,40.0,12.5,TELayerNormMlpDropout
gpt,2-6B,1,65536,65536,195327.79541015625,290675.28076171875,420.0625,219.9375,79.9375,640.0,40.0,40.0,12.5,TELayerNormMlpDropout
gpt,2-6B,2,65536,65536,394207.03125,579381.4453125,840.125,759.875,159.875,1600.0,80.0,80.0,12.5,TELayerNormMlpDropout
0,12.5,TELayerNormMlpDropout
NormMlpDropout
pout
