model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,1-3B,1,8192,8192,8326.96304321289,11275.263977050781,24.0703125,87.9296875,32.0,204.0,0.03125,16.0,132.0,LanguageModelEmbedding
gpt,1-3B,2,8192,8192,17200.94757080078,22641.465759277344,48.140625,207.859375,64.0,370.0,0.0625,32.0,132.0,LanguageModelEmbedding
gpt,1-3B,1,16384,16384,17726.05438232422,22523.699951171875,48.140625,175.859375,64.0,302.0,0.0625,32.0,164.0,LanguageModelEmbedding
gpt,1-3B,2,16384,16384,36753.61328125,45254.45251464844,96.28125,415.71875,128.0,540.0,0.125,64.0,164.0,LanguageModelEmbedding
gpt,1-3B,1,32768,32768,37356.768798828125,45538.73291015625,96.28125,351.71875,128.0,604.0,0.125,64.0,228.0,LanguageModelEmbedding
gpt,1-3B,2,32768,32768,78467.85278320312,90147.65625,192.5625,833.4375,256.0,1078.0,0.25,128.0,228.0,LanguageModelEmbedding
gpt,1-3B,1,65536,65536,75499.12719726562,88286.2060546875,192.5625,577.4375,256.0,1206.0,0.25,128.0,356.0,LanguageModelEmbedding
gpt,1-3B,2,65536,65536,159006.103515625,180529.7607421875,385.125,1664.875,512.0,1900.0,0.5,256.0,356.0,LanguageModelEmbedding
gpt,1-3B,1,8192,8192,20152.755737304688,19246.871948242188,856.2578125,1143.7421875,8.15625,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,2,8192,8192,41034.5458984375,36460.748291015625,1664.265625,2399.734375,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,1,16384,16384,41415.47546386719,38147.07336425781,1632.265625,2367.734375,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,2,16384,16384,81323.01025390625,73235.87646484375,3328.53125,4863.46875,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,1,32768,32768,83568.4326171875,75754.50439453125,3264.53125,4735.46875,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,2,32768,32768,164216.39404296875,141534.02099609375,6657.0625,9344.9375,0.25,0.0,128.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,1,65536,65536,164565.80810546875,143730.89599609375,6529.0625,9472.9375,0.25,0.0,128.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
gpt,1-3B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,1-3B,1,8192,8192,11246.797180175781,17399.192810058594,108.5322265625,0.0,31.96875,0.0,16.0,16.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,8192,8192,22571.014404296875,34869.6533203125,241.0634765625,0.0,63.9375,2.0,32.0,32.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,16384,16384,24535.83984375,40001.7578125,209.0634765625,0.0,63.9375,2.0,32.0,32.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,16384,16384,53082.72705078125,86862.2314453125,482.1259765625,0.0,127.875,448.0,64.0,64.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,32768,32768,58991.204833984375,97939.04418945312,418.1259765625,0.0,127.875,0.0,64.0,64.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,32768,32768,120467.041015625,199590.5029296875,964.2509765625,0.0,255.75,896.0,128.0,128.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,65536,65536,142634.765625,248866.650390625,836.2509765625,0.0,255.75,896.0,128.0,128.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,65536,65536,288762.890625,505942.431640625,1928.5009765625,119.4990234375,511.5,1792.0,256.0,256.0,16.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,8192,8192,11116.134643554688,16822.885131835938,168.03125,0.0,31.96875,0.0,16.0,16.0,32.0,TELayerNormMlpDropout
gpt,1-3B,2,8192,8192,22508.543395996094,33824.769592285156,336.0625,0.0,63.9375,0.0,32.0,32.0,32.0,TELayerNormMlpDropout
gpt,1-3B,1,16384,16384,22452.01873779297,33214.87579345703,336.0625,0.0,63.9375,0.0,32.0,32.0,32.0,TELayerNormMlpDropout
gpt,1-3B,2,16384,16384,44873.52294921875,68926.67236328125,672.125,0.0,127.875,502.0,64.0,64.0,32.0,TELayerNormMlpDropout
gpt,1-3B,1,32768,32768,45274.92980957031,66039.40124511719,672.125,0.0,127.875,256.0,64.0,64.0,32.0,TELayerNormMlpDropout
gpt,1-3B,2,32768,32768,99991.96166992188,139291.43676757812,1344.25,0.0,255.75,1408.0,128.0,128.0,32.0,TELayerNormMlpDropout
gpt,1-3B,1,65536,65536,106542.28515625,128864.6728515625,1344.25,0.0,255.75,1408.0,128.0,128.0,32.0,TELayerNormMlpDropout
gpt,1-3B,2,65536,65536,205007.2509765625,272600.0732421875,2688.5,0.0,511.5,3072.0,256.0,256.0,32.0,TELayerNormMlpDropout
ayerNormMlpDropout
