model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,1-3B,1,8192,8192,32678.091430664062,25779.608154296875,24.0703125,87.9296875,32.0,204.0,0.03125,16.0,132.0,LanguageModelEmbedding
GPT,1-3B,2,8192,8192,65635.12573242188,53697.125244140625,48.140625,207.859375,64.0,370.0,0.0625,32.0,132.0,LanguageModelEmbedding
GPT,1-3B,1,16384,16384,65598.05297851562,53950.054931640625,48.140625,175.859375,64.0,302.0,0.0625,32.0,164.0,LanguageModelEmbedding
GPT,1-3B,2,16384,16384,131063.4033203125,107926.94091796875,96.28125,415.71875,128.0,540.0,0.125,64.0,164.0,LanguageModelEmbedding
GPT,1-3B,1,32768,32768,131389.84375,108389.78271484375,96.28125,351.71875,128.0,604.0,0.125,64.0,228.0,LanguageModelEmbedding
GPT,1-3B,2,32768,32768,268999.90234375,218769.4091796875,192.5625,833.4375,256.0,1078.0,0.25,128.0,228.0,LanguageModelEmbedding
GPT,1-3B,1,8192,8192,45590.32287597656,60275.50964355469,856.2578125,1143.7421875,8.15625,0.0,16.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,2,8192,8192,91753.67431640625,121594.27490234375,1664.265625,2335.734375,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,1,16384,16384,91756.75048828125,122031.31103515625,1632.265625,2367.734375,0.0625,0.0,32.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,2,16384,16384,189023.64501953125,265386.60888671875,3328.53125,4863.46875,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,1,32768,32768,187867.3583984375,261099.0966796875,3264.53125,4735.46875,0.125,0.0,64.0,1.9073486328125e-06,100.0,TELayerNormPostProcess
GPT,1-3B,2,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
GPT,1-3B,1,8192,8192,37507.891845703125,56583.782958984375,108.5322265625,0.0,31.96875,0.0,16.0,16.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,8192,8192,74881.640625,114271.435546875,241.0634765625,0.0,63.9375,2.0,32.0,32.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,16384,16384,80259.27734375,126303.4423828125,209.0634765625,0.0,63.9375,2.0,32.0,32.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,16384,16384,162279.62646484375,255179.55322265625,482.1259765625,0.0,127.875,0.0,64.0,64.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,32768,32768,179704.2236328125,308161.5478515625,418.1259765625,0.0,127.875,0.0,64.0,64.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,32768,32768,370383.6669921875,616267.6025390625,964.2509765625,571.7490234375,255.75,1024.0,128.0,128.0,16.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,8192,8192,36780.23681640625,54607.257080078125,168.03125,0.0,31.96875,268.0,16.0,16.0,32.0,TELayerNormMlpDropout
GPT,1-3B,2,8192,8192,74724.96337890625,109450.64697265625,336.0625,0.0,63.9375,384.0,32.0,32.0,32.0,TELayerNormMlpDropout
GPT,1-3B,1,16384,16384,74752.20336914062,109856.35375976562,336.0625,0.0,63.9375,384.0,32.0,32.0,32.0,TELayerNormMlpDropout
GPT,1-3B,2,16384,16384,152823.6083984375,221781.591796875,672.125,31.875,127.875,832.0,64.0,64.0,32.0,TELayerNormMlpDropout
GPT,1-3B,1,32768,32768,151894.62890625,230066.9921875,672.125,31.875,127.875,832.0,64.0,64.0,32.0,TELayerNormMlpDropout
GPT,1-3B,2,32768,32768,313752.783203125,460482.568359375,1344.25,191.75,255.75,1536.0,128.0,128.0,32.0,TELayerNormMlpDropout
