model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,1-3B,1,8192,8192,57900.030517578125,33214.05334472656,7.0703125,88.9296875,8.0,72.0,0.03125,4.0,57.0,LanguageModelEmbedding
GPT,1-3B,2,8192,8192,115674.52392578125,65429.705810546875,12.140625,243.859375,16.0,142.0,0.0625,8.0,57.0,LanguageModelEmbedding
GPT,1-3B,1,16384,16384,115569.4580078125,65688.78173828125,12.140625,179.859375,16.0,142.0,0.0625,8.0,89.0,LanguageModelEmbedding
GPT,1-3B,2,16384,16384,232025.29296875,137128.3447265625,24.28125,487.71875,32.0,284.0,0.125,16.0,89.0,LanguageModelEmbedding
GPT,1-3B,1,32768,32768,230753.90625,137374.71923828125,24.28125,375.71875,32.0,412.0,0.125,16.0,153.0,LanguageModelEmbedding
GPT,1-3B,2,32768,32768,464637.548828125,278590.2587890625,48.5625,977.4375,64.0,694.0,0.25,32.0,153.0,LanguageModelEmbedding
GPT,1-3B,1,8192,8192,36169.11315917969,57772.23815917969,244.234375,255.765625,8.15625,0.0,4.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,2,8192,8192,71701.50146484375,114222.900390625,440.21875,623.78125,0.0625,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,1,16384,16384,71865.75317382812,114572.69897460938,408.21875,591.78125,0.0625,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,2,16384,16384,143839.84375,227854.541015625,880.4375,1247.5625,0.125,0.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,1,32768,32768,143614.36767578125,229187.97607421875,816.4375,1183.5625,0.125,0.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,2,32768,32768,288455.46875,459607.470703125,1760.875,2497.125,0.25,0.0,32.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
GPT,1-3B,1,8192,8192,58485.9619140625,86217.32177734375,30.1337890625,0.0,7.9921875,2.0,4.0,4.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,8192,8192,116367.56591796875,171911.16943359375,60.2666015625,27.7333984375,15.984375,130.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,16384,16384,117497.4365234375,174768.3349609375,52.2666015625,11.7333984375,15.984375,130.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,16384,16384,236327.1240234375,348873.9013671875,120.5322265625,135.4677734375,31.96875,258.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,32768,32768,241224.70703125,360945.654296875,104.5322265625,151.4677734375,31.96875,258.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,32768,32768,483864.35546875,724961.5234375,241.0634765625,368.9365234375,63.9375,512.0,32.0,32.0,4.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,8192,8192,58066.12548828125,85692.41943359375,43.0078125,0.0,7.9921875,60.0,4.0,4.0,8.0,TELayerNormMlpDropout
GPT,1-3B,2,8192,8192,115916.796875,168619.2138671875,84.015625,11.984375,15.984375,188.0,8.0,8.0,8.0,TELayerNormMlpDropout
GPT,1-3B,1,16384,16384,116116.27197265625,169728.82080078125,84.015625,11.984375,15.984375,188.0,8.0,8.0,8.0,TELayerNormMlpDropout
GPT,1-3B,2,16384,16384,233069.1650390625,337771.5087890625,168.03125,87.96875,31.96875,256.0,16.0,16.0,8.0,TELayerNormMlpDropout
GPT,1-3B,1,32768,32768,232843.45703125,341073.33984375,168.03125,87.96875,31.96875,256.0,16.0,16.0,8.0,TELayerNormMlpDropout
GPT,1-3B,2,32768,32768,468357.51953125,680624.31640625,336.0625,303.9375,63.9375,640.0,32.0,32.0,8.0,TELayerNormMlpDropout
