model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,2-6B,1,8192,8192,129.63839769363403,2625.9456634521484,7.5,32.5,10.0,290.0,0.00390625,5.0,290.0,LanguageModelEmbedding
GPT,2-6B,2,8192,8192,293.4783935546875,2830.131149291992,15.0,35.0,20.0,310.0,0.0078125,10.0,290.0,LanguageModelEmbedding
GPT,2-6B,1,16384,16384,258.4575891494751,3078.348731994629,15.0,0.0,20.0,250.0,0.0078125,10.0,330.0,LanguageModelEmbedding
GPT,2-6B,2,16384,16384,569.1391944885254,3744.358444213867,30.0,0.0,40.0,374.0,0.015625,20.0,330.0,LanguageModelEmbedding
GPT,2-6B,1,32768,32768,500.1215934753418,4262.9119873046875,30.0,0.0,40.0,474.0,0.015625,20.0,410.0,LanguageModelEmbedding
GPT,2-6B,2,32768,32768,1117.7984237670898,5022.9248046875,60.0,140.0,80.0,578.0,0.03125,40.0,410.0,LanguageModelEmbedding
GPT,2-6B,1,8192,8192,8463.155364990234,9963.724517822266,213.1455078125,186.8544921875,8.12890625,250.0,5.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,8192,8192,16154.623413085938,19617.791748046875,410.041015625,589.958984375,0.0078125,0.0,10.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,16384,16384,16103.01513671875,19748.248291015625,410.041015625,589.958984375,0.0078125,0.0,10.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,16384,16384,32111.819458007812,39385.29357910156,820.08203125,1179.91796875,0.015625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,32768,32768,32095.437622070312,39553.02429199219,820.08203125,1179.91796875,0.015625,0.0,20.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,2,32768,32768,64115.71044921875,81349.6337890625,1640.1640625,2359.8359375,0.03125,0.0,40.0,1.9073486328125e-06,250.0,TELayerNormPostProcess
GPT,2-6B,1,8192,8192,76167.98706054688,177369.70825195312,37.01123046875,4.98876953125,4.9921875,0.0,5.0,5.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,8192,8192,154812.6220703125,360373.2666015625,75.27880859375,36.72119140625,9.984375,0.0,10.0,10.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,16384,16384,155486.62109375,359290.283203125,65.27880859375,262.72119140625,9.984375,0.0,10.0,10.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,16384,16384,315411.2548828125,722673.0224609375,150.54443359375,283.45556640625,19.96875,212.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,32768,32768,316083.3984375,723054.58984375,130.54443359375,33.45556640625,19.96875,0.0,20.0,20.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,2,32768,32768,637497.36328125,1446600.29296875,301.07568359375,44.92431640625,39.9375,0.0,40.0,40.0,50.0,TELayerNormSelfAttentionDropout
GPT,2-6B,1,8192,8192,1852.0063400268555,4089.651298522949,52.5078125,193.4921875,4.9921875,0.0,5.0,5.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,8192,8192,3896.1151123046875,7490.150451660156,105.015625,140.984375,9.984375,246.0,10.0,10.0,100.0,TELayerNormMlpDropout
GPT,2-6B,1,16384,16384,3895.7054138183594,7532.749176025391,105.015625,0.0,9.984375,150.0,10.0,10.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,16384,16384,7084.031677246094,14844.314575195312,210.03125,0.0,19.96875,310.0,20.0,20.0,100.0,TELayerNormMlpDropout
GPT,2-6B,1,32768,32768,7075.635528564453,14827.72445678711,210.03125,0.0,19.96875,310.0,20.0,20.0,100.0,TELayerNormMlpDropout
GPT,2-6B,2,32768,32768,14051.737976074219,29574.34844970703,420.0625,0.0,39.9375,550.0,40.0,40.0,100.0,TELayerNormMlpDropout
