model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
GPT,1-3B,1,8192,8192,484.3520164489746,4672.512054443359,24.0,60.0,32.0,300.0,0.015625,16.0,232.0,LanguageModelEmbedding
GPT,1-3B,2,8192,8192,1452.2751808166504,5692.006301879883,48.0,112.0,64.0,368.0,0.03125,32.0,232.0,LanguageModelEmbedding
GPT,1-3B,1,16384,16384,1218.943977355957,5831.06575012207,48.0,96.0,64.0,400.0,0.03125,32.0,264.0,LanguageModelEmbedding
GPT,1-3B,2,16384,16384,2996.428871154785,7894.016265869141,96.0,224.0,128.0,534.0,0.0625,64.0,264.0,LanguageModelEmbedding
GPT,1-3B,1,32768,32768,2418.4831619262695,7896.473693847656,96.0,192.0,128.0,598.0,0.0625,64.0,328.0,LanguageModelEmbedding
GPT,1-3B,2,32768,32768,5970.316696166992,12023.39859008789,192.0,448.0,256.0,668.0,0.125,128.0,328.0,LanguageModelEmbedding
GPT,1-3B,1,8192,8192,44091.1865234375,34656.463623046875,824.20703125,1175.79296875,8.140625,0.0,16.0,1.9073486328125e-06,200.0,TELayerNormPostProcess
GPT,1-3B,2,8192,8192,88498.79150390625,70904.01611328125,1632.1640625,2367.8359375,0.03125,0.0,32.0,1.9073486328125e-06,200.0,TELayerNormPostProcess
GPT,1-3B,1,16384,16384,88309.73510742188,70340.83862304688,1632.1640625,2367.8359375,0.03125,0.0,32.0,1.9073486328125e-06,200.0,TELayerNormPostProcess
GPT,1-3B,2,16384,16384,182877.587890625,141818.896484375,3264.328125,4799.671875,0.0625,0.0,64.0,1.9073486328125e-06,200.0,TELayerNormPostProcess
GPT,1-3B,1,32768,32768,183417.44384765625,141734.28955078125,3264.328125,4735.671875,0.0625,0.0,64.0,1.9073486328125e-06,200.0,TELayerNormPostProcess
GPT,1-3B,2,32768,32768,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
GPT,1-3B,1,8192,8192,15615.7958984375,29187.640380859375,108.53564453125,407.46435546875,15.96875,0.0,16.0,16.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,8192,8192,32614.193725585938,58444.39392089844,241.06689453125,306.93310546875,31.9375,128.0,32.0,32.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,16384,16384,33596.62170410156,58931.60705566406,209.06689453125,546.93310546875,31.9375,194.0,32.0,32.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,16384,16384,68601.44653320312,118323.61450195312,482.13720703125,0.0,63.875,838.0,64.0,64.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,32768,32768,75568.53637695312,132383.34350585938,418.12939453125,275.87060546875,63.875,1222.0,64.0,64.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,2,32768,32768,155205.62744140625,261267.46826171875,964.25439453125,0.0,127.75,0.0,128.0,128.0,32.0,TELayerNormSelfAttentionDropout
GPT,1-3B,1,8192,8192,4557.004928588867,12741.017532348633,168.03125,77.96875,15.96875,246.0,16.0,16.0,64.0,TELayerNormMlpDropout
GPT,1-3B,2,8192,8192,10929.561614990234,21984.66567993164,336.0625,165.9375,31.9375,374.0,32.0,32.0,64.0,TELayerNormMlpDropout
GPT,1-3B,1,16384,16384,10548.429107666016,23699.047088623047,336.0625,0.0,31.9375,428.0,32.0,32.0,64.0,TELayerNormMlpDropout
GPT,1-3B,2,16384,16384,22465.536499023438,42912.56408691406,672.125,0.0,63.875,704.0,64.0,64.0,64.0,TELayerNormMlpDropout
GPT,1-3B,1,32768,32768,22843.39141845703,46828.33709716797,672.125,0.0,63.875,704.0,64.0,64.0,64.0,TELayerNormMlpDropout
GPT,1-3B,2,32768,32768,45822.97668457031,88063.38806152344,1344.25,127.75,127.75,1408.0,128.0,128.0,64.0,TELayerNormMlpDropout
