model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,2-6B,1,8192,8192,12106.752014160156,12002.918243408203,15.0703125,114.9296875,20.0,88.0,0.03125,10.0,102.5,LanguageModelEmbedding
gpt,2-6B,2,8192,8192,25353.62548828125,23918.59130859375,30.140625,289.859375,40.0,256.0,0.0625,20.0,102.5,LanguageModelEmbedding
gpt,2-6B,1,16384,16384,24954.67529296875,24384.10186767578,30.140625,229.859375,40.0,256.0,0.0625,20.0,142.5,LanguageModelEmbedding
gpt,2-6B,2,16384,16384,51011.993408203125,47315.35339355469,60.28125,579.71875,80.0,514.0,0.125,40.0,142.5,LanguageModelEmbedding
gpt,2-6B,1,32768,32768,50827.67333984375,47341.363525390625,60.28125,419.71875,80.0,514.0,0.125,40.0,222.5,LanguageModelEmbedding
gpt,2-6B,2,32768,32768,102311.11450195312,92697.60131835938,120.5625,1161.4375,160.0,866.0,0.25,80.0,222.5,LanguageModelEmbedding
gpt,2-6B,1,65536,65536,99320.21484375,93503.90014648438,120.5625,921.4375,160.0,1026.0,0.25,80.0,382.5,LanguageModelEmbedding
gpt,2-6B,2,65536,65536,207296.728515625,185726.3671875,241.125,2320.875,320.0,2052.0,0.5,160.0,382.5,LanguageModelEmbedding
gpt,2-6B,1,8192,8192,14569.676208496094,15783.732604980469,458.2421875,541.7578125,8.15625,0.0,10.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,8192,8192,29044.735717773438,31325.186157226562,860.234375,1139.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,16384,16384,29004.18701171875,31587.3291015625,820.234375,1179.765625,0.0625,0.0,20.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,16384,16384,58215.83251953125,62673.92578125,1720.46875,2439.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,32768,32768,58752.001953125,62951.62353515625,1640.46875,2359.53125,0.125,0.0,40.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,32768,32768,116862.7685546875,122191.6748046875,3440.9375,4961.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,65536,65536,116775.91552734375,127023.10791015625,3280.9375,4721.0625,0.25,0.0,80.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,2,65536,65536,235194.775390625,245844.970703125,6881.875,9122.125,0.5,0.0,160.0,1.9073486328125e-06,62.5,TELayerNormPostProcess
gpt,2-6B,1,8192,8192,13934.182739257812,21670.297241210938,70.248046875,0.0,19.984375,0.0,10.0,10.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,8192,8192,27907.891845703125,42348.748779296875,150.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,16384,16384,29191.372680664062,45052.10876464844,130.5322265625,0.0,39.96875,0.0,20.0,20.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,16384,16384,58302.4658203125,91133.94775390625,301.0634765625,0.0,79.9375,202.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,32768,32768,66010.93139648438,101644.69604492188,261.0634765625,0.0,79.9375,2.0,40.0,40.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,32768,32768,127553.7353515625,207373.3154296875,602.1259765625,0.0,159.875,720.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,65536,65536,153009.36279296875,246490.93017578125,522.1259765625,0.0,159.875,832.0,80.0,80.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,2,65536,65536,299175.537109375,499022.021484375,1204.607421875,75.392578125,319.75,1440.0,160.0,160.0,12.5,TELayerNormSelfAttentionDropout
gpt,2-6B,1,8192,8192,13635.597229003906,20521.56219482422,105.015625,0.0,19.984375,0.0,10.0,10.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,8192,8192,27712.51220703125,40705.230712890625,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,16384,16384,27594.137573242188,40990.71960449219,210.03125,0.0,39.96875,0.0,20.0,20.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,16384,16384,55731.610107421875,82847.94311523438,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,32768,32768,56120.526123046875,82530.70678710938,420.0625,0.0,79.9375,0.0,40.0,40.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,32768,32768,112209.7412109375,165298.14453125,840.125,0.0,159.875,1068.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,1,65536,65536,112910.33935546875,164158.06884765625,840.125,0.0,159.875,1068.0,80.0,80.0,25.0,TELayerNormMlpDropout
gpt,2-6B,2,65536,65536,230925.3173828125,328990.9423828125,1680.25,0.0,319.75,1920.0,160.0,160.0,25.0,TELayerNormMlpDropout
ormMlpDropout
